{'12:35:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'12:45:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'12:55:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'13:05:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'13:15:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'13:25:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'13:35:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'13:45:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'13:55:54 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'14:05:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'14:15:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'14:25:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'14:35:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'14:45:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'14:55:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'15:05:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'15:15:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'15:25:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'15:35:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'15:45:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'15:55:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'16:05:55 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'16:15:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'16:25:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'16:35:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'16:45:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'16:55:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'17:05:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'17:15:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'17:25:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'17:35:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'17:45:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'17:55:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:05:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:15:56 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:25:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:35:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:45:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'18:55:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:05:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:15:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:25:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:35:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:45:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'19:55:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'20:05:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'20:15:57 11.07.2020': {'still_work': ['0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0001']}}
{'20:25:57 11.07.2020': {'still_work': ['0001-0694-0008', '0001-0694-0008', '0001-0694-0009', '0001-0694-0010', '0001-0694-0011', '0001-0694-0012', '0001-0694-0013', '0001-0694-0014', '0001-0694-0015', '0001-0694-0016', '0001-0694-0017', '0001-0694-0018', '0001-0694-0019', '0001-0694-0003', '0001-0694-0002'], 'zero_cnt': ['0001-0694-0008']}}
{'20:35:57 11.07.2020': {'still_work': ['0001-0694-0008', '0001-0694-0005', '0001-0694-0006', '0001-0694-0007', '0001-0694-0008', '0001-0694-0009', '0001-0694-0010', '0001-0694-0011', '0001-0694-0012', '0001-0694-0013', '0001-0694-0014', '0001-0694-0015', '0001-0694-0016', '0001-0694-0017', '0001-0694-0018', '0001-0694-0019', '0001-0694-0020', '0001-0694-0021', '0001-0694-0022', '0001-0694-0023', '0001-0694-0024', '0001-0694-0025', '0001-0694-0026', '0001-0694-0027', '0001-0694-0028', '0001-0694-0059', '0001-0694-0061', '0001-0694-0063', '0001-0694-0064', '0001-0694-0065', '0001-0694-0066', '0001-0694-0067', '0001-0694-0029', '0001-0694-0030', '0001-0694-0031', '0001-0694-0032', '0001-0694-0033', '0001-0694-0034', '0001-0694-0060', '0001-0694-0062', '0001-0694-0035', '0001-0694-0036', '0001-0694-0037', '0001-0694-0038', '0001-0694-0039', '0001-0694-0040', '0001-0694-0041', '0001-0694-0042', '0001-0694-0027', '0001-0694-0043', '0001-0694-0044', '0001-0694-0045', '0001-0694-0046', '0001-0694-0003', '0001-0694-0047', '0001-0694-0048', '0001-0694-0049', '0001-0694-0050', '0001-0694-0051', '0001-0694-0052', '0001-0694-0053', '0001-0694-0054', '0001-0694-0002', '0001-0694-0055', '0001-0694-0056', '0001-0694-0057', '0001-0694-0058'], 'zero_cnt': ['0001-0694-0005']}}
{'20:45:58 11.07.2020': {'still_work': ['0001-0694-0008', '0001-0694-0005', '0001-0694-0006', '0001-0694-0007', '0001-0694-0008', '0001-0694-0009', '0001-0694-0010', '0001-0694-0011', '0001-0694-0012', '0001-0694-0013', '0001-0694-0014', '0001-0694-0015', '0001-0694-0016', '0001-0694-0017', '0001-0694-0018', '0001-0694-0019', '0001-0694-0020', '0001-0694-0021', '0001-0694-0022', '0001-0694-0023', '0001-0694-0024', '0001-0694-0025', '0001-0694-0026', '0001-0694-0027', '0001-0694-0028', '0001-0694-0059', '0001-0694-0061', '0001-0694-0063', '0001-0694-0064', '0001-0694-0065', '0001-0694-0066', '0001-0694-0067', '0001-0694-0029', '0001-0694-0030', '0001-0694-0031', '0001-0694-0032', '0001-0694-0033', '0001-0694-0034', '0001-0694-0060', '0001-0694-0062', '0001-0694-0035', '0001-0694-0036', '0001-0694-0037', '0001-0694-0038', '0001-0694-0039', '0001-0694-0040', '0001-0694-0041', '0001-0694-0042', '0001-0694-0027', '0001-0694-0043', '0001-0694-0044', '0001-0694-0045', '0001-0694-0046', '0001-0694-0003', '0001-0694-0047', '0001-0694-0048', '0001-0694-0049', '0001-0694-0050', '0001-0694-0051', '0001-0694-0052', '0001-0694-0053', '0001-0694-0054', '0001-0694-0002', '0001-0694-0055', '0001-0694-0056', '0001-0694-0057', '0001-0694-0058'], 'zero_cnt': ['0001-0694-0005']}}
