{'20:54:34 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:55:35 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:56:35 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:57:35 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:58:36 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'20:59:36 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:00:36 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:01:37 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:02:37 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:03:37 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:04:37 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:05:38 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:06:38 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:07:38 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:08:39 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:09:39 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:10:39 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
{'21:11:40 29.06.2020': {'still_work': ['0001-0684-0159', '0001-0684-0002', '0001-0684-0055'], 'zero_cnt': ['0001-0684-0021']}}
